"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE","GETFLAG","SETTLE_FLAG","SOURCE_SEG_NO","OPERATION_TYPE","R_JK_UPDATE_DATE"
"572","BGSA","BGSA150114001266I5J0000414","BGSAB1501140550","I5J0000414","DS","I865000109","BGSAT1501140411","","","30","374000","热轧卷","SS400","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","374000","0","","","","2015/1/14 12:18:11","2015/1/14 4:11:28","","*0*C","C","","0","","10000","","I5J0000414","001518002","2015/1/14 12:18:11","0","1","","","BGGF","0101","","","","","00100","10","2015/1/20 13:33:46"
"573","BGSA","BGSA150114001267I5J0000412","BGSAB1501140551","I5J0000412","DS","I875000077","BGSAT1501140412","","","2","13000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","13000","0","","","","2015/1/14 12:18:11","2015/1/14 4:11:28","","*0*C","C","","0","","10000","","I5J0000412","001518002","2015/1/14 12:18:11","0","1","","","BGGF","0101","","","","","00100","10","2015/1/20 12:00:53"
"574","BGSA","BGSA150115001947I5J0000601","BGSAB1501151037","I5J0000601","DS","H615000386","BGSAT1501150822","","","11","64000","热轧卷","Q345B","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","64000","0","","","","2015/1/15 16:03:08","2015/1/15 7:56:20","","*0*C","C","","0","","10000","","I5J0000601","001518002","2015/1/15 16:03:08","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:20:26"
"575","BGSA","BGSA150115001947I5J0000599","BGSAB1501151037","I5J0000599","DS","H615000384","BGSAT1501150822","","","11","64000","热轧卷","SAPH400","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","64000","0","","","","2015/1/15 16:03:08","2015/1/15 7:56:20","","*0*C","C","","0","","10000","","I5J0000599","001518002","2015/1/15 16:03:08","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:19:42"
"576","BGSA","BGSA150115001947I5J0000603","BGSAB1501151037","I5J0000603","DS","H615000388","BGSAT1501150822","","","11","64000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","64000","0","","","","2015/1/15 16:03:08","2015/1/15 7:56:20","","*0*C","C","","0","","10000","","I5J0000603","001518002","2015/1/15 16:03:08","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:21:10"
"577","BGSA","BGSA150115001947I5J0000606","BGSAB1501151037","I5J0000606","DS","H615000391","BGSAT1501150822","","","11","64000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","64000","0","","","","2015/1/15 16:03:08","2015/1/15 7:56:21","","*0*C","C","","0","","10000","","I5J0000606","001518002","2015/1/15 16:03:08","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:25:19"
"578","BGSA","BGSA150115001947I5J0000604","BGSAB1501151037","I5J0000604","DS","H615000389","BGSAT1501150822","","","11","64000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","64000","0","","","","2015/1/15 16:03:08","2015/1/15 7:56:21","","*0*C","C","","0","","10000","","I5J0000604","001518002","2015/1/15 16:03:08","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:21:30"
"579","BGSA","BGSA150115001948I5J0000629","BGSAB1501151038","I5J0000629","DS","H655000288","BGSAT1501150823","","","17","124000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","124000","0","","","","2015/1/15 16:03:09","2015/1/15 7:56:21","","*0*C","C","","0","","10000","","I5J0000629","001518002","2015/1/15 16:03:09","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:44:11"
"580","BGSA","BGSA150115001948I5J0000631","BGSAB1501151038","I5J0000631","DS","H655000290","BGSAT1501150823","","","17","124000","热轧卷","SS540","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","124000","0","","","","2015/1/15 16:03:09","2015/1/15 7:56:21","","*0*C","C","","0","","10000","","I5J0000631","001518002","2015/1/15 16:03:09","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:45:06"
"581","BGSA","BGSA150115001948I5J0000633","BGSAB1501151038","I5J0000633","DS","H655000292","BGSAT1501150823","","","17","124000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","124000","0","","","","2015/1/15 16:03:09","2015/1/15 7:56:21","","*0*C","C","","0","","10000","","I5J0000633","001518002","2015/1/15 16:03:09","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 9:45:51"
