"   ","OWNER_NUM","MANU_ID","CONTRACT_ITEM_NUM","RESOURCE_NUM","INPUT_STACKING_NUM","PICK_NUM","PACK_NUM","UNIT_WEIGHT","WEIGHT_THEO","N_PACK","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","WS_FLAG","WS_DATE","SEG_NO","DEPTID","EXTSYSID","EXTSYSSTACKID","GRADE_NUM","DOWNLOADFLAG","LENGTH_PRODUCT","LENGTH_PRODUCT_MAX","LENGTH_PRODUCT_MIN","HEAT_NUM","TEST_LOT_NUM","OPTFLAG","VEHICLE_CODE","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","STACKING_COUNT","DELIVERY_DATE_CHR","M_CONTRACT_ITEM_NUM","SPEC1","SPEC3","SPEC5","PPFLAG","SCAN_FLAG"
"56","GM0","BGNA","TI15130700323","I3E0014282","F013033017","3F01307201801","85324701500","24.88","24.88","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.5*1250*C","0","1041448","1041448","0","219714","","0","30720007&@梅盛2008","直发卷","Q235D","74.65","3","20130721","TI15130700323","","","","0","0"
"57","GM0","BGNA","TI15130700323","I3E0014282","F013033017","3F01307201801","85324702200","24.87","24.87","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.5*1250*C","0","1039756","1039756","0","219713","","0","30720007&@梅盛2008","直发卷","Q235D","74.65","3","20130721","TI15130700323","","","","0","0"
"58","GM0","BGNA","TI15130700328","I3E0014283","F013033018","3F01307201801","85324701000","25.01","25.01","1","2013/7/21 13:38:48","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1005200","1005200","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","25.01","1","20130721","TI15130700328","","","","0","0"
"59","GM0","BGNA","TI15130700323","I3E0014282","F013033022","3F01307201801","85324701300","24.86","24.86","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.5*1250*C","0","1040600","1040600","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","24.86","1","20130721","TI15130700323","","","","0","0"
"60","GM0","BGNA","TI15130700348","I3E0014284","F073018672","3F07307202701","85344702200","29.18","29.18","1","2013/7/21 13:38:48","","","","","0","","00100","0101","GM0","","2.6*1500*C","0","975119","975119","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","29.18","1","20130721","TI15130700348","","","","0","0"
"61","GM0","BGNA","TI15130700348","I3E0014284","F073018673","3F07307202701","85344701800","29.29","29.29","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1500*C","0","983996","983996","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","29.29","1","20130721","TI15130700348","","","","0","0"
"62","GM0","BGNA","TI15130700321","I3E0014281","F073018674","3F07307202701","85344702400","29.18","29.18","1","2013/7/21 13:38:48","","","","","0","","00100","0101","GM0","","2.5*1500*C","0","1021502","1021502","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","29.18","1","20130721","TI15130700321","","","","0","0"
"63","GM0","BGNA","TI15130700348","I3E0014284","F073018675","3F07307202701","85344702300","29.28","29.28","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1500*C","0","982443","982443","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","58.55","2","20130721","TI15130700348","","","","0","0"
"64","GM0","BGNA","TI15130700348","I3E0014284","F073018675","3F07307202701","85344702100","29.27","29.27","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1500*C","0","983248","983248","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","58.55","2","20130721","TI15130700348","","","","0","0"
"65","GM0","BGNA","TI15130700348","I3E0014284","F073018676","3F07307202701","85344701700","29.12","29.12","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1500*C","0","986075","986075","0","219655","","0","30720007&@梅盛2008","直发卷","Q235D","29.12","1","20130721","TI15130700348","","","","0","0"
"66","GM0","BGNA","TI15130700328","I3E0014283","F013033224","3F01307220101","85324700900","24.97","24.97","1","2013/7/22 16:38:51","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1003550","1003550","0","219712","","0","30722001&@梅盛2199","直发卷","Q235D","24.97","1","20130722","TI15130700328","","","","0","0"
"67","GM0","BGNA","TI15130700321","I3E0014281","F073019346","3F07307260401","85532701300","28.66","28.66","1","2013/7/27 11:38:55","","","","","0","","00100","0101","GM0","","2.5*1500*C","0","1005695","1005695","0","219676","","0","30726008&@梅盛1801","直发卷","Q235D","28.66","1","20130727","TI15130700321","","","","0","0"
"68","GM0","BGNA","TI15130700321","I3E0014281","F073019353","3F07307260401","85532701400","28.86","28.86","1","2013/7/27 11:38:56","","","","","0","","00100","0101","GM0","","2.5*1500*C","0","1010050","1010050","0","219676","","0","30726008&@梅盛1801","直发卷","Q235D","28.86","1","20130727","TI15130700321","","","","0","0"
