"   ","WPROVIDER_ID","PROVIDER_NAME","VOUCHER_NUM","FACTORY_PRODUCT_ID","PUTOUT_WEIGHT","PUTOUT_PRICE","OTHER_PRICE","PUTOUT_AMOUNT","STORE_PRICE","PROD_TYPE_DESC","SHOPSIGN","SPEC","PUTOUT_DATE","CLIENT_FEE_FLAG","FEE_SETTLE_TYPE","CONTRACT_SUBID","INOUTDOOR_FLAG","DEPTID","OWNER_NUM","SEG_NO","REPORT_MONTH"
"72","P01087","上海宝钢运输有限公司（一号库）","DC090501061","A9H0000202","481.320000","15.000000","0.000000","7219.800000","0.000000","氧气瓶用方坯","34CrMo4","300*300*4000-10000*切边*BKJ09-006 34CrMo4","2009-05-08","10","出库费","X081200939001","","0101","SM","00101","200905"
"73","P01087","上海宝钢运输有限公司（一号库）","DC090501612","A9H0000789","146.360000","15.000000","0.000000","2195.400000","0.000000","锻件方坯","40Mn2","100*100*4000-10000*切边* ","2009-05-12","10","出库费","X090400897001","","0101","SM","00101","200905"
"74","P01087","上海宝钢运输有限公司（一号库）","DC090502028","A9H0000753","48.100000","15.000000","0.000000","721.500000","0.000000","锻件方坯","42CrMo","280*280*4000-10000*切边*BJTT05-006 42CrMo","2009-05-14","10","出库费","X090400783001","","0101","SM","00101","200905"
"75","P01087","上海宝钢运输有限公司（一号库）","DC090502029","A9H0000754","22.930000","15.000000","0.000000","343.950000","0.000000","锻件方坯","42CrMo","200*200*4000-10000*切边*BJTT05-006 42CrMo","2009-05-14","10","出库费","X090400783002","","0101","SM","00101","200905"
"76","P01087","上海宝钢运输有限公司（一号库）","DC090803558","A9H0001328","239.840000","15.000000","0.000000","3597.600000","0.000000","锻件用钢板坯","34CrMo","450*450*4000-10000*切边*BJTB05-006 34CrMo","2009-08-17","10","出库费","X090700062001","","0101","SM","00101","200908"
"77","P01087","上海宝钢运输有限公司（一号库）","DC090804748","A9H0001300","23.780000","15.000000","0.000000","356.700000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-08-21","10","出库费","X090700032001","","0101","SM","00101","200908"
"78","P01087","上海宝钢运输有限公司（一号库）","DC090805950","A9H0001318","24.060000","15.000000","0.000000","360.900000","0.000000","模具用钢板坯","BM48C","210*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046001","","0101","SM","00101","200908"
"79","P01087","上海宝钢运输有限公司（一号库）","DC090802597","B9H0000030","160.060000","15.000000","0.000000","2400.900000","0.000000","热轧棒钢","AISI4145H","Φ180*9600-9700","2009-08-12","10","出库费","X090700065001","","0101","SM","00101","200908"
"80","P01087","上海宝钢运输有限公司（一号库）","DC090802606","A9H0001300","119.340000","15.000000","0.000000","1790.100000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-08-12","10","出库费","X090700032001","","0101","SM","00101","200908"
"81","P01087","上海宝钢运输有限公司（一号库）","DC090805057","A9H0001280","25.100000","15.000000","0.000000","376.500000","0.000000","锻件用钢板坯","16Mn(TM)","400*1600*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-08-24","10","出库费","X090700033001","","0101","SM","00101","200908"
"82","P01087","上海宝钢运输有限公司（一号库）","DC090805058","A9H0001658","73.260000","15.000000","0.000000","1098.900000","0.000000","锻件用钢板坯","16Mn(TM)","400*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-08-24","10","出库费","X090800118001","","0101","SM","00101","200908"
"83","P01087","上海宝钢运输有限公司（一号库）","DC090805059","A9H0001447","30.705000","0.000000","0.000000","0.000000","0.000000","锻件用钢板坯","35CrMoV","450*450*4000-10000*切边*BJTB05-006 35CrMoV","2009-08-24","10","出库费","X090700329001","","0101","SM","00101","200908"
"84","P01087","上海宝钢运输有限公司（一号库）","DC090805060","A9H0001447","15.622000","0.000000","0.000000","0.000000","0.000000","锻件用钢板坯","35CrMoV","450*450*4000-10000*切边*BJTB05-006 35CrMoV","2009-08-24","10","出库费","X090700329001","","0101","SM","00101","200908"
"85","P01087","上海宝钢运输有限公司（一号库）","DC090805978","A9H0001548","216.740000","15.000000","0.000000","3251.100000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-08-27","10","出库费","X090800068001","","0101","SM","00101","200908"
"86","P01087","上海宝钢运输有限公司（一号库）","DC090805951","A9H0001319","23.820000","15.000000","0.000000","357.300000","0.000000","模具用钢板坯","BM48C","220*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046002","","0101","SM","00101","200908"
"87","P01087","上海宝钢运输有限公司（一号库）","DC090805952","A9H0001321","17.560000","15.000000","0.000000","263.400000","0.000000","模具用钢板坯","BM48C","240*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046004","","0101","SM","00101","200908"
"88","P01087","上海宝钢运输有限公司（一号库）","DC090805953","A9H0001322","19.240000","15.000000","0.000000","288.600000","0.000000","模具用钢板坯","BM48C","250*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046005","","0101","SM","00101","200908"
"89","P01087","上海宝钢运输有限公司（一号库）","DC090805954","A9H0001323","24.680000","15.000000","0.000000","370.200000","0.000000","模具用钢板坯","BM48C","260*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046006","","0101","SM","00101","200908"
"90","P01087","上海宝钢运输有限公司（一号库）","DC090805955","A9H0001324","24.520000","15.000000","0.000000","367.800000","0.000000","模具用钢板坯","BM48C","290*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046007","","0101","SM","00101","200908"
"91","P01087","上海宝钢运输有限公司（一号库）","DC090805956","A9H0001325","24.560000","15.000000","0.000000","368.400000","0.000000","模具用钢板坯","BM48C","310*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046008","","0101","SM","00101","200908"
"92","P01087","上海宝钢运输有限公司（一号库）","DC090805957","A9H0001327","25.400000","15.000000","0.000000","381.000000","0.000000","模具用钢板坯","BM48C","380*1600*4000-10000*切边*Q/BQB 135   BM48C","2009-08-27","10","出库费","X090700046010","","0101","SM","00101","200908"
"93","P01087","上海宝钢运输有限公司（一号库）","DC090802097","B9H0000025","110.920000","15.000000","0.000000","1663.800000","0.000000","热轧棒钢","AISI4145H","Φ185*9700-9800","2009-08-11","10","出库费","X090600462002","","0101","SM","00101","200908"
"94","P01087","上海宝钢运输有限公司（一号库）","DC090806222","A9H0001568","48.980000","15.000000","0.000000","734.700000","0.000000","锻件用钢板坯","S45C(TM)","320*1600*4000-10000*切边*BJTB04-016 S45C(TM)","2009-08-28","10","出库费","X090800066001","","0101","SM","00101","200908"
"95","P01087","上海宝钢运输有限公司（一号库）","DC090806223","A9H0001570","48.420000","15.000000","0.000000","726.300000","0.000000","锻件用钢板坯","S45C(TM)","360*1600*4000-10000*切边*BJTB04-016 S45C(TM)","2009-08-28","10","出库费","X090800066003","","0101","SM","00101","200908"
"96","P01087","上海宝钢运输有限公司（一号库）","DC090802574","A9H0001446","223.780000","0.000000","0.000000","0.000000","0.000000","锻件用钢板坯","34CrMo1A","450*450*4000-10000*切边*BJTB05-006 34CrMo1A","2009-08-12","10","出库费","X090700331001","","0101","SM","00101","200908"
"97","P01087","上海宝钢运输有限公司（一号库）","DC090802575","A9H0001041","47.782000","0.000000","0.000000","0.000000","0.000000","锻件用钢板坯","35CrMoV","450*450*4000-10000*切边*BJTB05-006 35CrMoV","2009-08-12","10","出库费","X090600013001","","0101","SM","00101","200908"
"98","P01087","上海宝钢运输有限公司（一号库）","DC090802576","A9H0001314","64.920000","0.000000","0.000000","0.000000","0.000000","锻件用钢板坯","SS400(TM)","400*750*4000-10000*切边*BJTB04-016 SS400(TM)","2009-08-12","10","出库费","X090700039001","","0101","SM","00101","200908"
"99","P01087","上海宝钢运输有限公司（一号库）","DC090805664","B9H0000031","43.380000","15.000000","0.000000","650.700000","0.000000","热轧棒钢","BMH13","Φ160*4000-6000","2009-08-26","10","出库费","X090700060001","","0101","SM","00101","200908"
