"   ","MANAGENO","DEPTID","BARCODE","PACKNUM","NEWGOODSLOCID","GOODSLOCID","COLLECTDATE","INDATE","OPERATETYPE","STATE","COLLECTIONMANNO","COLLECTIONMANNAME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","OPERATESTATE","R_RECORD_CHANGE_FLAG","BATCHNO","UPSTATE","PLY","PLYORDER","PPFLAG","GMPACKTYPE","GRADENUM","BUSINESSNO"
"61","c25c7b3e7f2942d68379a868ced5f5f6","0101","1232207117000","D141200802P","","IB3132","2014/12/31 19:58:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"62","149f49503cb14547884dc965102df299","0101","1232207116997","D141201173P","","IC3111","2014/12/31 20:00:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:30:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"63","6ff2d58b185d415485cf0bcb5501b021","0101","1232207116980","D141200831P","","DD1722","2014/12/31 20:03:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"64","ec9532dea0a74233bb90b690e97a7297","0101","1232207116973","D141207943D","","IC1122","2014/12/31 20:07:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:45:21","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"65","9504f50847d64202bb8014f95a32d2ed","0101","1232207116966","D141207955D","","IA3152","2014/12/31 20:11:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:45:21","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"66","c583984ea97646459261b1681335bba8","0101","1232207116959","D141201174P","","IC3122","2014/12/31 20:14:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:30:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"67","1e715c5b1cb8437ead8a405d89bd7ea3","0101","1232207116928","D141200814P","","IB3112","2014/12/31 20:17:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"68","3bfa97652bb04df1936f4b4fa64b6d55","0101","1232207116935","D141200812P","","IC1222","2014/12/31 20:19:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"69","00ae95e31e5f4dcca441a4d4169a0bae","0101","1232207116911","D141201171P","","ID3112","2014/12/31 20:24:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:30:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"70","290dda10e2ff44bebf079e7d1ee63ec0","0101","1232207116904","D141200813P","","IC1232","2014/12/31 20:28:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"71","f7f1f4b7688246a1a700ea8ac7c9100b","0101","1232207116898","D141200811P","","IC1212","2014/12/31 20:31:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"72","be0ac3059f584cdb80f7c2e08eaf329d","0101","1232207116881","D141200823P","","IA3152","2014/12/31 20:34:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"73","e035290705d448158b5fd9c448735a47","0101","1232207116874","D141200834P","","IA3162","2014/12/31 20:36:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"74","c9a0ab19ce24453882b75d44b960d147","0101","R4269701101","R4269701101","","CA1122","2014/12/31 23:55:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:02:18","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"75","a370c4cd08ab41b081c6965292140bea","0101","R4266601902","R4266601902","","JC1122","2014/12/31 23:59:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:01:45","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"76","3fe5254e6db646009d76426785b0feda","0101","R4268502600","R4268502600","","JC1322","2015/1/1 0:01:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:00:20","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"77","8646749c077e470b82fa812e6bc7257b","0101","1232207117093","D141210753D","","CE1652","2014/12/31 19:40:00","2015/1/1 7:44:41","0","1","007       ","ÕÅÓÀ¾ü","2015/1/1 7:36:11","100060","2015/1/1 9:31:10","100002","0","","0","6babe20216854e3381f79fb7bfd6d78e","","0","0","0","","",""
"78","192d64be4a1948779c04ec759e0705a9","0101","1232207117109","A141169173P1","","CF2451","2014/12/31 19:42:00","2015/1/1 7:44:41","0","1","007       ","ÕÅÓÀ¾ü","2015/1/1 7:36:11","100060","2015/1/1 9:33:26","100002","0","","0","6babe20216854e3381f79fb7bfd6d78e","","0","0","0","","",""
