"   ","OWNER_NUM","CONTRACT_ITEM_NUM","INPUT_STACKING_NUM","PICK_NUM","RESOURCE_NUM","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","WEIGHT_THEO","STACKING_COUNT","DELIVERY_DATE_CHR","DEPT_ID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","INSERT_TIME","TIME_RECEIVE","ZY_INSERT_TIME","DEPTID","DOWNLOADFLAG","VEHICLE_CODE","RED_STACKING_DATE","PRODUCT_ADRESS","TRANS_COMMISSION_SUBID","GETFLAG","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_FLAG"
"47","GM0","TI15130700321","F073018694","3F07307210101","I3E0014281","直发卷","Q235D","29.09","0","1","20130721","00","GM0","00100","0","2013/7/21 15:37:05","2013/7/21 15:37:05","2013/7/21 15:37:05","0101","0","30721003&@梅盛1999","0","梅钢公司热轧厂","TC13072900022004","","000425","上海宝钢钢材贸易有限公司",""
"48","GM0","TI15121203546","H12300252","1H12301050601","I3E0000896","直发卷","Q235B","25.35","0","1","20130105","00","GM0","00100","0","2013/1/5 22:36:20","2013/1/5 22:36:20","2013/1/5 22:36:20","0101","0","钢联沪B95948","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"49","GM0","TI15121203546","H12300253","1H12301040501","I3E0000896","直发卷","Q235B","25.32","0","1","20130105","00","GM0","00100","0","2013/1/5 22:36:23","2013/1/5 22:36:23","2013/1/5 22:36:23","0101","0","钢联沪BL9767","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"50","GM0","TI15121203546","H07300122","1H07301040601","I3E0000896","直发卷","Q235B","25.14","0","1","20130105","00","GM0","00100","0","2013/1/6 1:05:57","2013/1/6 1:05:57","2013/1/6 1:05:57","0101","0","钢联沪BL9549","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"51","GM0","TI15121203546","H07300123","1H07301050301","I3E0000896","直发卷","Q235B","75.26","0","3","20130105","00","GM0","00100","0","2013/1/6 1:06:30","2013/1/6 1:06:30","2013/1/6 1:06:30","0101","0","沪BL3397","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"52","GM0","TI15121203546","H07300117","1H07301040601","I3E0000896","直发卷","Q235B","25.21","0","1","20130105","00","GM0","00100","0","2013/1/5 21:36:15","2013/1/5 21:36:15","2013/1/5 21:36:15","0101","0","钢联沪B96070","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"53","GM0","TI15121203546","H07300118","1H07301040601","I3E0000896","直发卷","Q235B","25.13","0","1","20130105","00","GM0","00100","0","2013/1/5 21:36:43","2013/1/5 21:36:43","2013/1/5 21:36:43","0101","0","钢联沪BK1743","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"54","GM0","TI15121203546","H12300268","1H12301040501","I3E0000896","直发卷","Q235B","76.12","0","3","20130106","00","GM0","00100","0","2013/1/6 1:36:07","2013/1/6 1:36:07","2013/1/6 1:36:07","0101","0","沪B26272","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"55","GM0","TI15121203546","H07300120","1H07301040601","I3E0000896","直发卷","Q235B","50.35","0","2","20130105","00","GM0","00100","0","2013/1/5 23:36:14","2013/1/5 23:36:14","2013/1/5 23:36:14","0101","0","钢联沪BK1743","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"56","GM0","TI15121203546","H07300121","1H07301040601","I3E0000896","直发卷","Q235B","25.27","0","1","20130105","00","GM0","00100","0","2013/1/5 23:36:17","2013/1/5 23:36:17","2013/1/5 23:36:17","0101","0","钢联沪B95972","0","不锈钢分公司热轧厂","","","008039","上海钢联物流有限公司",""
"57","GM0","TI15121203595","F013006813","3F01302160101","I3E0000932","直发卷","SA414M GR.G","17.93","0","1","20130216","00","GM0","00100","0","2013/2/16 11:36:14","2013/2/16 11:36:14","2013/2/16 11:36:14","0101","0","30216001&@梅盛2006","0","梅钢公司热轧厂","TC13021600051004","","000425","上海宝钢钢材贸易有限公司",""
"58","GM0","TI15121203595","F093001881","3F09302070201","I3E0000932","直发卷","SA414M GR.G","18.18","0","1","20130207","00","GM0","00100","0","2013/2/7 23:36:06","2013/2/7 23:36:06","2013/2/7 23:36:06","0101","0","30207003&@梅盛1918","0","梅钢公司热轧厂","TC13021600051006","","000425","上海宝钢钢材贸易有限公司",""
"59","GM0","TI15121203595","F093001880","3F09302070201","I3E0000932","直发卷","SA414M GR.G","38.21","0","2","20130207","00","GM0","00100","0","2013/2/7 23:36:06","2013/2/7 23:36:06","2013/2/7 23:36:06","0101","0","30207003&@梅盛1918","0","梅钢公司热轧厂","TC13021600051006","","000425","上海宝钢钢材贸易有限公司",""
"60","GM0","TI15121203595","F093002372","3F09302130401","I3E0000932","直发卷","SA414M GR.G","20.46","0","1","20130214","00","GM0","00100","0","2013/2/14 3:36:10","2013/2/14 3:36:10","2013/2/14 3:36:10","0101","0","30213004&@梅盛1918","0","梅钢公司热轧厂","TC13021600051008","","000425","上海宝钢钢材贸易有限公司",""
"61","GM0","TI15121203595","F013006206","3F01302061801","I3E0000932","直发卷","SA414M GR.G","19.8","0","1","20130207","00","GM0","00100","0","2013/2/7 18:36:53","2013/2/7 18:36:53","2013/2/7 18:36:53","0101","0","30206008&@梅盛1999","0","梅钢公司热轧厂","TC13021600051003","","000425","上海宝钢钢材贸易有限公司",""
"62","GM0","TI15121203595","F093002019","3F09302090301","I3E0000932","直发卷","SA414M GR.G","18.57","0","1","20130209","00","GM0","00100","0","2013/2/9 23:36:37","2013/2/9 23:36:37","2013/2/9 23:36:37","0101","0","30209002&@梅盛1501","0","梅钢公司热轧厂","TC13021600051007","","000425","上海宝钢钢材贸易有限公司",""
"63","GM0","TI15121203595","F013005928","3F01302050501","I3E0000932","直发卷","SA414M GR.G","58.84","0","3","20130205","00","GM0","00100","0","2013/2/5 16:36:41","2013/2/5 16:36:41","2013/2/5 16:36:41","0101","0","30205004&@梅盛1801","0","梅钢公司热轧厂","TC13021600051002","","000425","上海宝钢钢材贸易有限公司",""
"64","GM0","TI15121203595","F013005936","3F01302050501","I3E0000932","直发卷","SA414M GR.G","18.8","0","1","20130205","00","GM0","00100","0","2013/2/5 16:36:43","2013/2/5 16:36:43","2013/2/5 16:36:43","0101","0","30205004&@梅盛1801","0","梅钢公司热轧厂","TC13021600051002","","000425","上海宝钢钢材贸易有限公司",""
"65","GM0","TI15121203595","F013006998","3F01302162101","I3E0000932","直发卷","SA414M GR.G","17.78","0","1","20130217","00","GM0","00100","0","2013/2/17 11:36:14","2013/2/17 11:36:14","2013/2/17 11:36:14","0101","0","30216011&@梅盛1801","0","梅钢公司热轧厂","TC13022200069001","","000425","上海宝钢钢材贸易有限公司",""
"66","GM0","TI15130302749","F013019661","3F01304200101","I3E0007378","直发卷","HP295","18.73","0","1","20130420","00","GM0","00100","0","2013/4/20 19:37:22","2013/4/20 19:37:22","2013/4/20 19:37:22","0101","0","30420002&@梅盛0908","0","梅钢公司热轧厂","TC13042200097005","","000425","上海宝钢钢材贸易有限公司",""
"67","GM0","TI15130302749","F013019619","3F01304190401","I3E0007378","直发卷","HP295","56.28","0","3","20130420","00","GM0","00100","0","2013/4/20 10:36:21","2013/4/20 10:36:21","2013/4/20 10:36:21","0101","0","30419004&@梅盛2188","0","梅钢公司热轧厂","TC13042200097004","","000425","上海宝钢钢材贸易有限公司",""
"68","GM0","TI15130302749","F013019626","3F01304190401","I3E0007378","直发卷","HP295","74.47","0","4","20130420","00","GM0","00100","0","2013/4/20 10:36:23","2013/4/20 10:36:23","2013/4/20 10:36:23","0101","0","30419004&@梅盛2188","0","梅钢公司热轧厂","TC13042200097004","","000425","上海宝钢钢材贸易有限公司",""
