"   ","MANAGEID","DEPTID","DEPTNAME","PARENTDEPTID","PARENTDEPTNAME","SYSVERSION","USERPCID","LOGINIP","USERID","USERNAME","LASTLOGINTIME","LASTLOGOUTTIME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","LOGINIPSERVICE","LOGINMAC"
"81","1cdcd1a7a8d24609bd0daf9b95627169","0101","宝钢运输公司一号库","","","1.1.0.0438","68674ca688fc455","192.168.16.138","01010001","管理员","2010/12/6 13:10:30","2010/12/6 13:18:37","","","","","","",""
"82","ec8a12aafd5c4f54886b1ec0aa520ed0","0101","宝钢运输公司一号库","","","1.1.0.0438","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/3 15:24:23","2010/12/3 15:26:25","","","","","","",""
"83","d4ab92eb96a84f63af7c94cfcd4ab197","0101","宝钢运输公司一号库","","","1.1.0.0440","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/8 10:52:25","","","","","","","",""
"84","3847adadb6b74bc8b1828d23a8028e29","0101","宝钢运输公司一号库","","","1.1.0.0440","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/9 12:51:50","2010/12/9 12:56:56","","","","","","",""
"85","02d7fe1dca334dd88e5be4645d66fdbe","0101","宝钢运输公司一号库","","","1.1.0.0434","68674ca688fc455","10.31.88.44","01010001","管理员","2010/12/2 9:50:04","2010/12/2 10:20:48","","","","","","",""
"86","380cc74346ae473fbaa9d9fa570c6e1e","0101","宝钢运输公司一号库","","","1.1.0.0438","68674ca688fc455","192.168.16.138","01010001","管理员","2010/12/3 9:00:24","2010/12/3 9:10:21","","","","","","",""
"87","97cc46862ed04009ad8b39db83f9b9be","0101","宝钢运输公司一号库","","","1.1.0.0438","1847CBC19EB3450","10.30.169.231","01010001","管理员","2010/12/7 12:19:58","2010/12/7 12:21:00","","","","","","",""
"88","901f0125e7ed492c8e6bf9a2ca564fa0","0101","宝钢运输公司一号库","","","1.1.0.0449","68674ca688fc455","10.31.88.44","01010001","管理员","2010/12/23 9:41:38","2010/12/23 9:42:09","","","","","","",""
"89","911a74f3de364e9581c8a79c34d30eda","0101","宝钢运输公司一号库","","","1.1.0.0438","68674ca688fc455","10.31.88.44","01010001","管理员","2010/12/3 11:09:27","2010/12/3 11:14:51","","","","","","",""
"90","69c904f32e8641188f7cbc6cc8bc0383","0101","宝钢运输公司一号库","","","1.1.0.0438","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/3 11:16:03","2010/12/3 11:17:09","","","","","","",""
"91","065ae3aec09440e797c1113b8e0c6607","0101","宝钢运输公司一号库","","","1.1.0.0438","mjordan-PC","fe80::c4ec:e45c:671f:4fe9%13","01010001","管理员","2010/12/3 9:07:38","2010/12/3 9:09:37","","","","","","",""
"92","ff332ce8b36f43ce8b0d6296d198171b","0101","宝钢运输公司一号库","","","1.1.0.0449","1847CBC19EB3450","10.30.158.96","01010001","管理员","2010/12/21 14:27:23","2010/12/21 15:04:43","","","","","","",""
"93","1ed2bbfc0f1745dea2ef327e5dcf2a6b","0101","宝钢运输公司一号库","","","1.1.0.0446","zoe-PC","fe80::65c1:82bf:520a:53a5%11","01010001","管理员","2010/12/23 8:46:35","2010/12/23 9:02:43","","","","","","",""
"94","1079e89a20654432a7997810283f5103","0101","宝钢运输公司一号库","","","1.1.0.0441","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/15 13:54:07","2010/12/15 14:00:20","","","","","","",""
"95","3bbdfab976b5415fa5c842d4c5501b6a","0101","宝钢运输公司一号库","","","1.1.0.0449","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/21 15:26:44","2010/12/21 15:27:45","","","","","","",""
"96","eb55a5a2a0924689b24fa528d78a63a7","0101","宝钢运输公司一号库","","","1.1.0.0449","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/22 15:25:31","2010/12/22 15:26:12","","","","","","",""
"97","14fb0fc6fe1b48e5b7dde9f00732cb19","0101","宝钢运输公司一号库","","","1.1.0.0449","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/22 15:07:14","2010/12/22 15:12:49","","","","","","",""
"98","b8c063c6950a4d4fb1283e2e48ffec94","0101","宝钢运输公司一号库","","","1.1.0.0452","68674ca688fc455","192.168.16.138","01010001","管理员","2010/12/24 13:07:12","2010/12/24 13:13:49","","","","","","",""
"99","f83395b025ff4b27a90b1da404d90ad1","0101","宝钢运输公司一号库","","","1.1.0.0449","1847CBC19EB3450","192.168.6.100","01010001","管理员","2010/12/26 11:02:15","2010/12/26 11:03:16","","","","","","",""
